G｜Q1～Q10最新題目、選項與三星／六維計分總表,,,,,,,,,,,,,,,,,,,
版本：LP_SCORE_V3_2026-08-27｜Q1～Q6計三星；Q1～Q10計六維；每答案六維固定3分。,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
answer_key,題號,關卡名稱,場景,題目,觀察重點,選項,答案文字,T,E,G,GD,ET,GT,PS,CE,OU,六維主維,六維次維,答案含義
Q4D,Q4,第四關｜四顆神祕星球,孩子可以選擇一顆星球開始新的旅程。,孩子最想前往哪一顆星球？,偏好的任務體驗,D,創造星球｜動手完成作品,1,0,1,1,0,0,0,2,0,創意表達,目標驅動,喜歡動手創作並完成作品
Q5A,Q5,第五關｜星際圖書館,飛船來到星際圖書館，書架上放著四本不同的書。,孩子最可能先拿哪一本？,偏好的學習內容與參與形式,A,闖關任務書｜一關一關完成,2,0,0,2,0,0,1,0,0,目標驅動,問題解決,偏好有明確關卡與完成目標的內容
Q5B,Q5,第五關｜星際圖書館,飛船來到星際圖書館，書架上放著四本不同的書。,孩子最可能先拿哪一本？,偏好的學習內容與參與形式,B,趣味發現書｜認識新奇事物,0,2,0,0,2,0,0,0,1,探索思考,觀察理解,偏好認識與理解新奇事物
Q5C,Q5,第五關｜星際圖書館,飛船來到星際圖書館，書架上放著四本不同的書。,孩子最可能先拿哪一本？,偏好的學習內容與參與形式,C,實驗探索書｜動手找方法,0,0,2,0,2,0,0,1,0,探索思考,創意表達,透過實驗探索並動手尋找方法
Q5D,Q5,第五關｜星際圖書館,飛船來到星際圖書館，書架上放著四本不同的書。,孩子最可能先拿哪一本？,偏好的學習內容與參與形式,D,創意故事書｜想出故事並完成,1,1,0,0,1,0,0,2,0,創意表達,探索思考,加入自己的想法並完成故事
Q6A,Q6,第六關｜選擇星際角色,旅程來到最後一站，孩子可以選一個角色參與星際任務。,依照你對孩子的了解，他最可能選哪個角色？,任務角色與參與方式偏好,A,任務導航員｜朝目標完成,2,0,0,2,0,0,1,0,0,目標驅動,問題解決,朝清楚目標完成任務
Q6B,Q6,第六關｜選擇星際角色,旅程來到最後一站，孩子可以選一個角色參與星際任務。,依照你對孩子的了解，他最可能選哪個角色？,任務角色與參與方式偏好,B,星際解謎家｜找出謎題答案,0,2,0,0,1,0,2,0,0,問題解決,探索思考,找線索並解開謎題
Q6C,Q6,第六關｜選擇星際角色,旅程來到最後一站，孩子可以選一個角色參與星際任務。,依照你對孩子的了解，他最可能選哪個角色？,任務角色與參與方式偏好,C,勇氣探險家｜看清狀況再試,0,0,2,0,0,2,0,0,1,持續嘗試,觀察理解,看清狀況後繼續嘗試
Q6D,Q6,第六關｜選擇星際角色,旅程來到最後一站，孩子可以選一個角色參與星際任務。,依照你對孩子的了解，他最可能選哪個角色？,任務角色與參與方式偏好,D,創意發明家｜用新方法完成,1,1,0,0,0,0,1,2,0,創意表達,問題解決,使用新的方法完成任務
Q7A,Q7,第七關｜收到神祕任務,飛船收到一個沒有說明的新任務，孩子準備開始挑戰。,面對沒有說明的新任務，哪一種方式最能幫助孩子開始？,開始新任務時需要的支持方式,A,先看到完成的樣子,0,0,0,2,0,0,0,0,1,目標驅動,觀察理解,看到預期成果後較容易確認方向
Q7B,Q7,第七關｜收到神祕任務,飛船收到一個沒有說明的新任務，孩子準備開始挑戰。,面對沒有說明的新任務，哪一種方式最能幫助孩子開始？,開始新任務時需要的支持方式,B,先找到可參考的線索,0,0,0,0,1,0,0,0,2,觀察理解,探索思考,找到可觀察的線索後較容易理解任務
Q7C,Q7,第七關｜收到神祕任務,飛船收到一個沒有說明的新任務，孩子準備開始挑戰。,面對沒有說明的新任務，哪一種方式最能幫助孩子開始？,開始新任務時需要的支持方式,C,可以直接動手試試,0,0,0,0,0,2,1,0,0,持續嘗試,問題解決,透過直接操作開始嘗試
Q7D,Q7,第七關｜收到神祕任務,飛船收到一個沒有說明的新任務，孩子準備開始挑戰。,面對沒有說明的新任務，哪一種方式最能幫助孩子開始？,開始新任務時需要的支持方式,D,可以用自己的方法,0,0,0,0,0,0,1,2,0,創意表達,問題解決,能使用自己的做法時較容易開始
Q8A,Q8,第八關｜看懂星際圖,孩子照著星際圖的步驟試過，還是不太明白。,這時，孩子最可能怎麼幫助自己弄懂？,遇到不理解時的處理方式,A,再問問原因,0,0,0,0,2,0,1,0,0,探索思考,問題解決,主動追問以理解原因
Q8B,Q8,第八關｜看懂星際圖,孩子照著星際圖的步驟試過，還是不太明白。,這時，孩子最可能怎麼幫助自己弄懂？,遇到不理解時的處理方式,B,請人再示範一次,0,0,0,0,1,0,0,0,2,觀察理解,探索思考,透過再次觀察示範建立理解
Q8C,Q8,第八關｜看懂星際圖,孩子照著星際圖的步驟試過，還是不太明白。,這時，孩子最可能怎麼幫助自己弄懂？,遇到不理解時的處理方式,C,邊操作邊觀察,0,0,0,0,0,2,0,0,1,持續嘗試,觀察理解,透過再次操作與觀察理解
Q8D,Q8,第八關｜看懂星際圖,孩子照著星際圖的步驟試過，還是不太明白。,這時，孩子最可能怎麼幫助自己弄懂？,遇到不理解時的處理方式,D,回頭查看步驟,0,0,0,0,0,0,1,0,2,觀察理解,問題解決,回頭確認原有步驟，再照著處理
Q9A,Q9,第九關｜修復能量拼圖,孩子修復能量拼圖，試了兩次仍顯示錯誤。,發現錯誤後，孩子最可能怎麼做？,發現錯誤後的調整方式,A,找出錯在哪裡,0,0,0,0,0,0,2,0,1,問題解決,觀察理解,仔細觀察並定位錯誤
Q9B,Q9,第九關｜修復能量拼圖,孩子修復能量拼圖，試了兩次仍顯示錯誤。,發現錯誤後，孩子最可能怎麼做？,發現錯誤後的調整方式,B,換個方法再試,0,0,0,0,0,1,0,2,0,創意表達,持續嘗試,改用不同方法繼續嘗試
Q9C,Q9,第九關｜修復能量拼圖,孩子修復能量拼圖，試了兩次仍顯示錯誤。,發現錯誤後，孩子最可能怎麼做？,發現錯誤後的調整方式,C,繼續試到完成,0,0,0,2,0,1,0,0,0,目標驅動,持續嘗試,以完成拼圖為方向持續嘗試
Q9D,Q9,第九關｜修復能量拼圖,孩子修復能量拼圖，試了兩次仍顯示錯誤。,發現錯誤後，孩子最可能怎麼做？,發現錯誤後的調整方式,D,看完別人再試,0,0,0,0,0,1,0,0,2,觀察理解,持續嘗試,先觀察他人做法，再回來嘗試
Q10A,Q10,第十關｜選擇下一段旅程,完成一段旅程後，孩子準備繼續探索下一個星球。,孩子持續投入時，最在意什麼？,持續投入的主要動機,A,知道離完成還有多遠,0,0,0,2,0,1,0,0,0,目標驅動,持續嘗試,能看見自己與完成目標之間的距離
Q10B,Q10,第十關｜選擇下一段旅程,完成一段旅程後，孩子準備繼續探索下一個星球。,孩子持續投入時，最在意什麼？,持續投入的主要動機,B,過程中一直有新發現,0,0,0,0,2,0,0,0,1,探索思考,觀察理解,在過程中持續看見新的內容
Q10C,Q10,第十關｜選擇下一段旅程,完成一段旅程後，孩子準備繼續探索下一個星球。,孩子持續投入時，最在意什麼？,持續投入的主要動機,C,可以嘗試不同方法,0,0,0,0,0,2,0,1,0,持續嘗試,創意表達,可以透過不同方法持續嘗試
Q10D,Q10,第十關｜選擇下一段旅程,完成一段旅程後，孩子準備繼續探索下一個星球。,孩子持續投入時，最在意什麼？,持續投入的主要動機,D,可以加入自己的想法,0,0,0,1,0,0,0,2,0,創意表達,目標驅動,可以將自己的想法放進任務中
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
